Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
538,539,1,3405.37,3398.4,0.204676731162834,short,Max Drawdown Limit,334,2327.979999999933,1140630.9300000004,0.0,0.0
540,541,1,3659.04,3665.18,0.16780357689448253,long,Max Drawdown Limit,311,1909.5399999999604,1142540.4700000004,0.0,0.0
542,543,1,3680.06,3631.05,-1.3317717645907883,long,Max Drawdown Limit,310,-15193.099999999926,1127347.3700000003,1.3476857625525032,1.3297647128420833
549,550,1,3667.58,3898.6,6.298976436778475,long,Max Drawdown Limit,307,70923.14,1198270.5100000002,0.0,0.0
551,552,1,3907.79,3969.74,1.5852950132939543,long,Max Drawdown Limit,306,18956.699999999946,1217227.2100000002,0.0,0.0
553,554,1,3937.31,3962.0,0.6270778780436403,long,Max Drawdown Limit,309,7629.210000000017,1224856.4200000002,0.0,0.0
555,556,1,4117.76,3743.56,-9.087465029530625,long,Max Drawdown Limit,297,-111137.40000000008,1113719.0200000003,9.978944240352462,9.073504305100503
557,558,1,3827.92,3809.23,-0.48825471796693903,long,Max Drawdown Limit,290,-5420.100000000016,1108298.9200000002,0.4890467636655364,0.486666735744541
559,560,1,3818.07,3813.69,-0.11471764530247243,long,Max Drawdown Limit,290,-1270.2000000000317,1107028.7200000002,0.11473957062287897,0.1146080698156733
564,565,1,3715.3,3857.73,3.833606976556397,long,Max Drawdown Limit,297,42301.70999999995,1149330.4300000002,0.0,0.0
571,572,1,3871.61,3882.73,-0.2872190122455488,short,Max Drawdown Limit,296,-3291.5199999999677,1146038.9100000001,0.28720839853509145,0.2863858742520215
581,582,1,3980.64,3986.93,0.158014791591301,long,Max Drawdown Limit,287,1805.2299999999896,1147844.1400000001,0.0,0.0
583,584,1,4006.01,3992.18,-0.34523128998680436,long,Max Drawdown Limit,286,-3955.3800000001092,1143888.76,0.3457836232257515,0.3445920802453302
585,586,1,3936.12,3948.55,0.31579321768646007,long,Max Drawdown Limit,290,3604.7000000000844,1147493.46,0.0,0.0
588,589,1,4027.81,4103.25,1.8729781196233204,long,Max Drawdown Limit,284,21424.960000000014,1168918.42,0.0,0.0
592,593,1,4144.56,4857.29,17.19675912521473,long,take_profit,282,200989.85999999987,1369908.2799999998,0.0,0.0
594,595,1,4932.6,4898.66,-0.6880752544297228,long,signal,277,-9401.380000000141,1360506.8999999997,0.6910203836526021,0.6862780623532053
596,597,1,5004.95,5043.89,0.7780297505469688,long,signal,271,10552.740000000138,1371059.64,0.0,0.0
